Visitor,Vscore,Home,Hscore
Navy,77.0,Lipscomb,82.0
Wyoming,85.0,Santa Clara,89.0
Loyola-Md.,84.0,Binghamton,70.0
Merrimack,51.0,UMass Lowell,77.0
Temple,67.0,La Salle,51.0
USMMA,57.0,Army,88.0
Kansas St.,64.0,Butler,76.0
Akron,57.0,Marshall,68.0
Chattanooga,81.0,Tenn. Tech,74.0
The Citadel,76.0,Charleston So.,73.0
Columbia Intl,59.0,SC Upstate,93.0
Coppin St.,82.0,UMBC,109.0
Drake,73.0,Indiana St.,75.0
Elon,70.0,High Point,84.0
E. Michigan,80.0,FIU,68.0
Eastern Nazarene,45.0,Stonehill College,92.0
FDU,66.0,Hartford,74.0
Gardner-Webb,71.0,W. Carolina,55.0
Hampton,54.0,Georgia,73.0
Harvard,72.0,Holy Cross,38.0
Hofstra,77.0,George Mason,81.0
Howard,40.0,Yale,86.0
Lafayette,56.0,Drexel,64.0
Lehigh,60.0,Md.-E. Shore,64.0
Mars Hill,56.0,ETSU,84.0
Middle Tenn.,64.0,St. Bona.,71.0
UNCG,56.0,NC A&T,73.0
N.J. Tech,60.0,Cincinnati,86.0
Badgers,41.0,Dartmouth,99.0
Cairn,58.0,Princeton,92.0
Richmond,67.0,Toledo,90.0
Sacred Heart,66.0,New Hamp.,61.0
South Alabama,59.0,FAU,84.0
St. Fran.-Pa.,65.0,Bucknell,89.0
Cincinnati-Clermont,44.0,Ohio,113.0
Vanderbilt,65.0,VCU,70.0
W. Michigan,47.0,Dayton,67.0
McNeese St.,40.0,Tennessee,76.0
Ohio St.,72.0,Duke,81.0
Purdue,79.0,Florida St.,69.0
Rutgers,61.0,Miami,68.0
Dallas Christian,64.0,Incarnate Word,112.0
Delaware St.,73.0,St. Fran.-NY,81.0
FGCU,70.0,Ga. Southern,53.0
Jacksonville,61.0,UAB,80.0
UNCW,60.0,C. Carolina,58.0
Texas A&M-CC,82.0,UT-Rio Grande Valley,89.0
East-West,56.0,Lindenwood,103.0
Florida A&M,62.0,Florida,102.0
Georgetown,65.0,Texas Tech,79.0
Monmouth,62.0,Rider,88.0
Missouri St.,66.0,UIC,51.0
North American,46.0,Abilene Chr.,93.0
N. Alabama,68.0,Memphis,87.0
North Dakota,44.0,Iowa St.,63.0
N. Illinois,90.0,E. Illinois,70.0
N. Iowa,53.0,Bradley,68.0
Providence,62.0,TCU,75.0
Prairie View,62.0,Rice,70.0
S. Illinois,80.0,Evansville,53.0
SMU,64.0,Texas A&M,83.0
W. Kentucky,75.0,Austin Peay,74.0
Maine,67.0,Fordham,72.0
SE Louisiana,63.0,Xavier,95.0
So. Indiana,78.0,W. Illinois,86.0
Saint Joseph's,85.0,Penn,80.0
Ark.-Pine Bluff,53.0,Air Force,81.0
Cent. Arkansas,70.0,Loyola Chi.,85.0
LMU,71.0,Colo. St.,87.0
Montana St.,86.0,So. Utah,83.0
Samford,98.0,DePaul,103.0
South Carolina,55.0,George Wash.,79.0
Tennessee St.,63.0,Saint Louis,80.0
