Team,Points For,Standard Deviation,Points Against
Abilene Chr.,76.25,14.658141461696674,71.14285714285714
Air Force,67.03333333333333,11.909090510261866,66.83333333333333
Akron,73.5,11.857632490335584,65.46666666666667
Alabama,83.34482758620689,13.112904936057037,69.10344827586206
Alabama A&M,69.5,10.199854755683388,71.53571428571429
Alabama St.,64.10714285714286,8.912493460448635,73.53571428571429
Albany,67.66666666666667,11.402762319093876,75.3
Alcorn St.,68.46428571428571,12.072258197595758,71.64285714285714
American,65.48275862068965,8.283463258009784,66.20689655172414
App. St.,70.54838709677419,18.331827895179863,64.48387096774194
Arizona,83.34482758620689,13.693783422907545,71.24137931034483
Arizona St.,71.24137931034483,9.782108932761572,67.17241379310344
Ark.-Pine Bluff,67.34482758620689,12.71185010157554,70.06896551724138
Arkansas,74.66666666666667,11.686518414124805,66.53333333333333
Arkansas St.,65.9375,11.313530295267498,67.78125
Army,73.2,12.06419610194591,69.66666666666667
Auburn,72.06896551724138,12.7305342567802,65.86206896551724
Austin Peay,67.06666666666666,14.867073856595699,72.83333333333333
BYU,75.61290322580645,11.271431199733358,69.87096774193549
Ball St.,76.79310344827586,11.289626434237341,70.72413793103448
Baylor,77.96666666666667,12.355323669920823,69.9
Bellarmine,66.27272727272727,13.775596010864483,67.15151515151516
Belmont,76.0,11.713240371477058,71.12903225806451
Bethune-Cook.,66.93103448275862,10.51166370712199,75.10344827586206
Binghamton,69.53571428571429,9.848790649043021,71.71428571428571
Boise St.,71.55172413793103,11.980896123461813,62.758620689655174
Boston College,66.36666666666666,7.876124258373108,69.9
Boston U.,67.53333333333333,11.9877331938293,67.23333333333333
Bowling Green,77.24137931034483,11.070085728193645,78.37931034482759
Bradley,71.13333333333334,12.610158284257299,62.0
Brown,69.34615384615384,9.217124530751693,68.76923076923077
Bryant,80.28571428571429,17.53484814507669,73.35714285714286
Bucknell,67.96774193548387,12.240598762499983,68.7741935483871
Buffalo,77.86666666666666,15.160596233688159,77.36666666666666
Butler,65.3,14.091205376599875,67.33333333333333
C. Carolina,73.56666666666666,13.808251739157784,74.5
C. Michigan,65.93103448275862,11.47646982333467,72.58620689655173
CCSU,66.43333333333334,12.442095769059035,69.3
CS Fullerton,69.51724137931035,11.484836865733545,64.48275862068965
CSNorthridge,64.2,12.688305775330129,68.73333333333333
Cal Baptist,69.10714285714286,15.597576463489178,64.92857142857143
Cal Poly,59.733333333333334,12.442788614524767,65.63333333333334
Cal-Baker.,61.6551724137931,11.739055273709713,64.93103448275862
California,58.5,11.939663125714876,69.78571428571429
Campbell,69.33333333333333,13.230928586624893,68.33333333333333
Canisius,69.11111111111111,8.576951822419346,73.4074074074074
Cent. Arkansas,73.16666666666667,12.359788340262627,81.76666666666667
Charleston,81.70967741935483,8.907650451108854,68.0
Charleston So.,72.86206896551724,15.69286493449226,74.48275862068965
Charlotte,65.60714285714286,10.809252846054953,61.75
Chattanooga,76.76666666666667,11.793286615503005,71.76666666666667
Chicago St.,70.53571428571429,14.00920898937326,70.35714285714286
Cincinnati,77.3,13.636032388871214,69.56666666666666
Clemson,75.37931034482759,12.093132032874363,68.51724137931035
Clev. St.,71.23333333333333,11.924137598638502,68.4
Coastal Georgia,56.5,3.5355339059327378,88.0
Colgate,78.03333333333333,10.44355380567142,68.53333333333333
Colo. St.,71.82758620689656,13.193799857501363,72.3103448275862
Colorado,69.96666666666667,12.628602820399502,66.5
Columbia,67.74074074074075,15.712788991510639,75.25925925925925
Coppin St.,72.36666666666666,12.243177785969236,84.1
Cornell,82.3076923076923,14.10749936953883,76.0
Creighton,75.82758620689656,12.136335542250333,68.10344827586206
Dartmouth,70.77777777777777,14.874690257494784,72.03703703703704
Davidson,70.71428571428571,11.164948932085835,69.39285714285714
Dayton,69.3,10.580235314507178,60.666666666666664
DePaul,71.37931034482759,11.742516745033374,76.72413793103448
Delaware,69.43333333333334,7.228694417977962,70.76666666666667
Delaware St.,65.51851851851852,12.870270962333104,75.25925925925925
Denver,72.80645161290323,10.34220916064748,74.80645161290323
Detroit,76.90625,10.955509366700891,75.46875
Drake,75.63333333333334,15.203183272235965,64.8
Drexel,66.76666666666667,9.383343030966182,62.63333333333333
Duke,72.13333333333334,9.50764967270306,64.03333333333333
Duquesne,75.03448275862068,12.596719410286068,69.6896551724138
E. Illinois,69.2,13.757505788377536,72.26666666666667
E. Kentucky,77.5,21.075899705281785,71.90625
E. Michigan,72.43333333333334,11.545064129190727,80.66666666666667
E. Washington,76.96774193548387,15.557385965017264,71.06451612903226
ETSU,69.48387096774194,10.813173964326833,69.0
East Carolina,69.74074074074075,9.44047176376833,70.55555555555556
Elon,65.90322580645162,10.186117476610598,71.54838709677419
Evansville,62.833333333333336,7.8392616354160385,76.1
FAU,78.78571428571429,11.979479809571723,65.53571428571429
FDU,78.29032258064517,13.092475061110733,75.96774193548387
FGCU,71.25,13.44762840345536,69.4375
FIU,72.3103448275862,12.104023676553247,74.58620689655173
Fairfield,64.64285714285714,8.233689986491523,65.46428571428571
Florida,71.83333333333333,12.539821626992211,68.7
Florida A&M,58.214285714285715,8.916722296221662,69.25
Florida St.,69.96666666666667,8.949988762594884,76.53333333333333
Fordham,72.20689655172414,11.543022971056793,67.86206896551724
Fresno St.,62.10344827586207,10.202747625679098,65.41379310344827
Furman,82.16129032258064,11.18956887520262,71.09677419354838
Ga. Southern,68.03333333333333,11.16794468582949,66.8
Ga. Tech,69.17241379310344,12.671872579844027,71.03448275862068
Gardner-Webb,71.13793103448276,15.98151641725759,65.41379310344827
George Mason,69.78571428571429,10.332821287876598,67.78571428571429
George Wash.,76.67857142857143,11.997078568547185,77.5
Georgetown,70.3103448275862,11.209382066172012,77.62068965517241
Georgia,69.03333333333333,8.59624349927633,71.86666666666666
Georgia St.,66.70967741935483,12.33745935052296,69.35483870967742
Gonzaga,87.43333333333334,15.723216599343948,73.9
Grambling,68.71428571428571,11.75634467900802,62.67857142857143
Grand Canyon,71.5925925925926,13.599375718871066,67.11111111111111
Green Bay,59.16129032258065,10.507447435647881,76.41935483870968
Hampton,68.26666666666667,9.580631803128977,76.13333333333334
Hartford,63.22222222222222,13.408761008940083,70.85185185185185
Harvard,67.85185185185185,10.497998723946258,65.5925925925926
Hawaii,66.86666666666666,9.008552768813963,61.3
Hawaii-Pac.,55.0,,79.0
High Point,74.8,12.99177458611993,77.33333333333333
Hofstra,74.46666666666667,11.860491742243072,66.03333333333333
Holy Cross,66.75,11.048281139119888,72.625
Houston,77.07142857142857,10.036705123468048,56.32142857142857
Houston Chr.,78.62068965517241,16.77884253011054,82.17241379310344
Howard,75.62068965517241,13.660197115037356,74.13793103448276
IUPUI,65.28125,11.662552077814784,76.75
Idaho,72.87096774193549,18.093722549517683,72.41935483870968
Idaho St.,69.1,10.95869989771943,70.7
Illinois,74.17241379310344,10.657220776534706,65.55172413793103
Illinois St.,66.61290322580645,10.045487940214215,70.3225806451613
Immaculata,57.0,14.142135623730951,89.0
